Date,Close
2/7/2020,10.06
2/10/2020,9.86
2/11/2020,9.98
2/12/2020,10.58
2/13/2020,10.28
2/14/2020,10.00
2/18/2020,6.90
2/19/2020,2.31
2/20/2020,2.05
2/21/2020,2.02
2/24/2020,1.90
